CRIMINAL MISCHIEF & RELATED OFFENSES,CRIMINAL TRESPASS,DANGEROUS DRUGS,DANGEROUS WEAPONS,FELONY ASSAULT,FORGERY,GRAND LARCENY,INTOXICATED & IMPAIRED DRIVING,OTHER OFFENSES RELATED TO THEFT,ROBBERY,precinct
223,100,239,47,62,100,314,71,361,40,1
205,138,542,110,165,137,546,31,309,205,5
110,90,414,99,104,37,146,145,262,152,6
191,184,638,97,128,42,115,37,142,76,7
184,210,811,110,136,55,168,17,262,92,9
75,168,479,48,98,46,148,153,262,76,10
102,102,518,184,115,84,236,44,968,67,13
144,181,1248,199,156,230,685,39,2886,135,14
46,49,156,27,43,28,95,21,124,23,17
104,113,602,54,128,111,625,44,609,126,18
51,41,57,35,84,49,384,53,337,70,19
44,39,92,32,46,34,107,60,239,29,20
2,0,28,8,3,2,9,0,0,16,22
112,356,1152,278,253,67,95,32,407,118,23
65,75,447,62,83,35,124,67,168,83,24
129,196,1934,264,259,103,86,78,1030,115,25
43,59,328,71,59,60,128,68,456,63,26
106,154,1308,99,168,136,62,20,446,123,28
122,67,1033,155,123,50,62,64,299,99,30
166,190,1354,269,265,78,67,42,291,121,32
176,123,1042,161,133,62,55,141,245,77,33
117,173,947,293,202,71,80,183,297,121,34
330,462,2295,589,485,157,147,107,1745,366,40
177,47,1095,266,443,55,96,43,690,238,41
169,285,1286,383,347,58,61,55,480,231,42
228,221,1089,249,375,39,99,103,277,328,43
405,252,1534,418,407,192,149,105,1174,332,44
93,101,341,141,127,18,80,114,29,93,45
298,40,1128,234,435,112,123,115,510,293,46
195,76,854,312,382,93,119,99,300,287,47
252,57,1493,240,338,46,126,117,272,241,48
147,76,749,184,192,29,90,44,250,172,49
87,17,509,88,98,21,57,44,94,68,50
198,67,1379,289,425,69,141,112,406,279,52
115,204,816,137,212,78,116,74,484,187,60
101,76,467,92,161,21,82,57,130,113,61
65,29,409,94,139,36,73,55,112,106,62
74,31,338,97,100,100,101,53,2,70,63
64,50,317,39,119,14,69,76,49,89,66
210,114,671,261,462,511,143,138,107,257,67
66,28,727,81,90,29,38,116,52,36,68
116,47,405,118,161,178,52,45,264,72,69
120,42,463,145,202,178,94,86,238,157,70
107,115,825,178,254,141,77,35,204,110,71
110,57,474,131,183,50,78,129,257,122,72
190,202,1035,560,399,296,97,71,905,218,73
304,148,1456,625,680,335,183,128,905,405,75
62,158,548,113,64,53,22,59,40,43,76
143,47,655,141,264,118,149,48,351,245,77
43,29,227,55,54,82,203,54,179,69,78
165,111,735,190,255,105,60,43,630,175,79
141,88,642,165,200,65,70,42,472,167,81
196,99,776,123,213,39,56,39,287,195,83
146,33,201,65,189,106,221,40,796,86,84
81,102,389,76,133,192,54,35,256,74,88
134,122,491,82,144,63,118,54,632,121,90
80,39,207,28,58,7,47,34,209,44,94
75,18,147,107,113,73,64,18,168,47,100
102,70,303,171,231,84,45,58,166,103,101
192,75,571,192,250,119,183,97,33,91,102
183,98,1398,475,252,181,92,65,673,232,103
152,39,308,80,151,39,109,105,222,90,104
223,31,359,140,249,126,107,101,12,120,105
197,139,415,122,174,71,140,119,219,124,106
114,34,458,67,92,42,86,108,96,108,107
132,61,188,45,94,17,89,102,141,75,108
144,32,391,54,221,34,184,116,110,172,109
151,124,465,191,215,50,149,128,285,148,110
73,4,153,35,58,18,57,177,1,33,111
44,15,112,21,97,25,72,85,162,26,112
235,125,663,420,306,261,115,108,26,92,113
250,150,823,160,276,51,143,206,193,137,114
149,92,590,327,293,94,135,217,330,175,115
270,41,1046,190,270,48,151,151,176,229,120
167,22,675,172,155,50,110,240,125,50,121
99,24,382,50,96,9,69,129,4,41,122
54,13,400,61,34,9,49,121,3,11,123
