ASSAULT 3 & RELATED OFFENSES,CRIMINAL TRESPASS,MISCELLANEOUS PENAL LAW,OFFENSES AGAINST PUBLIC ADMINISTRATION,OTHER OFFENSES RELATED TO THEFT,PETIT LARCENY,VEHICLE AND TRAFFIC LAWS,precinct
230,100,47,129,361,754,182,1
288,138,254,278,309,318,291,5
257,90,34,84,262,359,180,6
379,184,98,119,142,166,167,7
371,210,98,136,262,287,98,9
246,168,56,73,262,157,308,10
304,102,59,93,968,737,80,13
439,181,203,277,2886,2267,197,14
143,49,31,29,124,152,257,17
383,113,58,119,609,721,96,18
203,41,34,50,337,663,258,19
144,39,38,64,239,372,167,20
24,0,5,8,0,8,68,22
496,356,139,200,407,259,296,23
230,75,74,58,168,305,167,24
391,196,154,207,1030,361,283,25
163,59,49,42,456,60,252,26
353,154,95,87,446,400,184,28
311,67,93,108,299,94,203,30
528,190,229,207,291,191,571,32
358,123,99,78,245,239,471,33
396,173,120,119,297,123,462,34
1171,462,213,320,1745,458,452,40
577,47,350,931,690,192,153,41
862,285,118,254,480,266,508,42
1082,221,120,268,277,395,542,43
920,252,230,344,1174,592,378,44
395,101,42,173,29,498,175,45
955,40,100,194,510,147,247,46
920,76,132,208,300,295,522,47
838,57,129,231,272,310,418,48
560,76,100,131,250,220,317,49
295,17,35,72,94,137,182,50
855,67,163,181,406,631,280,52
505,204,251,87,484,191,151,60
271,76,164,35,130,268,154,61
386,29,204,52,112,240,86,62
212,31,114,39,2,286,205,63
222,50,120,24,49,164,137,66
823,114,414,105,107,134,278,67
256,28,135,37,52,238,203,68
331,47,144,47,264,50,214,69
482,42,307,61,238,462,111,70
439,115,261,78,204,141,396,71
416,57,159,33,257,171,153,72
820,202,467,137,905,289,509,73
1309,148,624,225,905,607,377,75
159,158,84,48,40,73,236,76
485,47,245,81,351,122,239,77
167,29,74,25,179,473,129,78
545,111,195,101,630,240,153,79
377,88,185,53,472,116,221,81
567,99,193,65,287,115,172,83
245,33,270,145,796,754,126,84
242,102,124,56,256,84,127,88
363,122,141,64,632,173,144,90
167,39,65,29,209,114,102,94
284,18,222,42,168,121,149,100
420,70,289,100,166,66,177,101
527,75,465,453,33,151,145,102
565,98,331,242,673,254,292,103
468,39,200,93,222,243,149,104
638,31,360,58,12,86,402,105
339,139,211,94,219,190,119,106
286,34,121,79,96,169,305,107
330,61,88,72,141,70,152,108
560,32,251,49,110,737,149,109
494,124,150,113,285,831,148,110
161,4,73,26,1,127,205,111
153,15,75,35,162,314,128,112
782,125,463,281,26,203,1232,113
771,150,361,129,193,372,579,114
793,92,232,109,330,172,347,115
608,41,311,236,176,194,292,120
346,22,189,113,125,583,177,121
282,24,144,47,4,190,262,122
110,13,51,52,3,159,261,123
